config_id,phase,model_type,window_seconds,stride_seconds,learning_rate,dropout,loss,batch_size,seed,n_folds,mae_mean_cm,mae_std_cm,rmse_mean_cm,rmse_std_cm,rms_mean_cm,bias_cm,proportional_bias_slope,composite_score,status,stop_reason,seed_mae_mean,seed_mae_std
fast_tcn_54e33498,fast,tcn,1.0,1.0,0.0005,0.2,huber,32,42,8,1.6517416604766106,0.2788065954534937,1.9978231059760003,0.3089561501201646,1.9978231059760003,0.1324407829826018,-0.4429161311035593,1.9853833504953304,pruned_early,pruning,,
fast_tcn_f6aca7a7,fast,tcn,2.0,0.5,0.001,0.1,huber,32,42,8,1.6425369813438204,0.2661802289605082,2.0044382454553302,0.314828840935699,2.0044382454553302,0.1833504565592685,-0.2943710067557699,1.966465532288948,pruned_early,pruning,,
fast_tcn_b649a12d,fast,tcn,2.0,0.5,0.001,0.2,huber,32,42,8,1.6522927568387675,0.2624352691867053,2.011515919316761,0.3161978886574351,2.011515919316761,0.0573679614723501,-0.3059612247897557,1.958254482766948,pruned_early,pruning,,
fast_tcn_9219c7a9,fast,tcn,2.0,0.5,0.0005,0.1,huber,32,42,8,1.6477476049178184,0.271456263682058,2.0050073886620194,0.3231805860216775,2.0050073886620194,0.0545103949115179,-0.298659845939733,1.954154953535236,pruned_early,pruning,,
fast_tcn_d9bea4e9,fast,tcn,2.0,0.5,0.0005,0.2,huber,32,42,8,1.6599047673844587,0.2613649357924437,2.0080686065910087,0.3087225945325142,2.0080686065910087,0.1527004255653751,-0.3301585943104436,1.9819737852575208,pruned_early,pruning,,
fast_tcn_f28d6771,fast,tcn,2.0,1.0,0.001,0.1,huber,32,42,8,1.6731836112300524,0.2744187886377748,2.0522019077836067,0.3288150109824841,2.0522019077836067,0.1036115243118599,-0.2724476396610955,1.9897949917807447,pruned_early,pruning,,
fast_tcn_ca3e6574,fast,tcn,2.0,1.0,0.001,0.2,huber,32,42,8,1.6516908007848634,0.2669663300955708,2.028317785919977,0.3260182925963408,2.028317785919977,0.0762941014668095,-0.3041195715765278,1.963120234278428,pruned_early,pruning,,
fast_tcn_13d0b54c,fast,tcn,2.0,1.0,0.0005,0.1,huber,32,42,8,1.6774658257006996,0.2694448330252736,2.064016842237942,0.3239271575207663,2.064016842237942,0.2140144202877426,-0.3591201886316543,2.0192429000871392,pruned_early,pruning,,
fast_tcn_3f3a3b79,fast,tcn,2.0,1.0,0.0005,0.2,huber,32,42,8,1.6667684307173642,0.2744583090899731,2.0519618552444068,0.322093549137359,2.0519618552444068,0.1921472499011171,-0.4044890347489284,2.0098501844743586,pruned_early,pruning,,
fast_tcn_7a4c3879,fast,tcn,3.0,0.5,0.001,0.1,huber,32,42,8,1.6060200291882396,0.2627016864105547,2.0159850927284886,0.3416229934934428,2.0159850927284886,0.0873595890291625,-0.2889099261066862,1.9152888910287704,pruned_early,pruning,,
