loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_Timestamp_since1970(s),IP_en0(txt),IP_pdp_ip0(txt),deviceID(txt),deviceOrientationTimeStamp_since1970(s),deviceOrientation(Z),batteryTimeStamp_since1970(s),batteryState(R),batteryLevel(Z),label(N)
2025-05-09T09:33:54.187-03:00,2976,0,0,0,0,0,-1,0,-1,-1,-1,0,1746794034.172331,14.62188148498535,10.75893020629883,14.80229949951172,263.367919921875,283.8115234375,11.66286182403564,5928.61384675,0.1600494384765625,-0.4544830322265625,-0.7574310302734375,5928.60630975,0.6083035469055176,1.055318593978882,0.4155980050563812,5928.60431475,10.43278503417969,61.010498046875,-76.09228515625,5928.600027750001,0.07725865960570316,0.1013283601646115,0.4424267144839577,0.6737943291664124,0.9967447519302368,0.3447757363319397,-0.04689022153615952,-0.01444739103317261,-0.06588590145111084,XArbitraryCorrectedZVertical,0.2170603985000625,0.05783440145103497,0.04873364662592768,0.9732240958365116,0.09141537547111511,-0.4281337857246399,-0.8990799188613892,14.62188148498535,10.75893020629883,14.80229949951172,-1,2,5925.669932875,unknown,2,2025-05-09T09:33:51.244-03:00,2025-05-09T08:28:17.986-03:00,979,1.064393,0,0,663.67,0,0,2025-05-09T09:33:54.139-03:00,5924.87826,0,-6.114319,91.34312,1746793985.60726,10.149.169.142,0.0.0.0,my_iOS_device,0,1,1746793985.586095,1,0.35,2
2025-05-09T09:33:54.212-03:00,2977,0,0,0,0,0,-1,0,-1,-1,-1,0,1746794034.192462,14.53481292724609,11.20262145996094,14.67763519287109,262.69091796875,283.134521484375,11.6628303527832,5928.63018275,0.2864990234375,-0.5522918701171875,-0.807281494140625,5928.622642750001,0.5499927997589111,0.5658964514732361,0.5507097244262695,5928.62443675,10.28813171386719,60.66612243652344,-75.31904602050781,5928.615104750001,0.08297621947889348,0.1143689223792865,0.452366522932333,0.5874237418174744,1.009594321250916,0.5097111463546753,0.07516962289810181,-0.01995125412940979,0.1624297499656677,XArbitraryCorrectedZVertical,0.2213902940053659,0.06493588434750719,0.05315986940765811,0.9715676075859718,0.1026410460472107,-0.4370952546596527,-0.8935393095016479,14.53481292724609,11.20262145996094,14.67763519287109,-1,2,5925.669932875,unknown,2,2025-05-09T09:33:51.244-03:00,2025-05-09T08:28:17.986-03:00,979,1.064393,0,0,663.67,0,0,2025-05-09T09:33:54.139-03:00,5924.87826,0,-6.114319,91.34312,1746793985.60726,10.149.169.142,0.0.0.0,my_iOS_device,0,1,1746793985.586095,1,0.35,2
2025-05-09T09:33:54.223-03:00,2978,0,0,0,0,0,-1,0,-1,-1,-1,0,1746794034.212546,14.26996612548828,11.04934692382812,15.08100128173828,262.0208129882812,282.4644165039062,11.66283702850342,5928.64651675,0.067626953125,-0.559844970703125,-0.817901611328125,5928.63897675,0.5130990147590637,0.1670579612255096,0.2677219808101654,5928.64455875,10.10604858398438,60.99578857421875,-75.43428039550781,5928.63018275,0.09061933568782836,0.1200042839293754,0.4616439381538591,0.5414816737174988,0.2731749415397644,0.4526409506797791,0.1722342371940613,-0.09052914381027222,0.136883556842804,XArbitraryCorrectedZVertical,0.2254876107002265,0.06865950272623589,0.05771839756161511,0.9701081292016696,0.1071847155690193,-0.4454205632209778,-0.8888823986053467,14.4301643371582,10.96613311767578,14.92436218261719,-1,2,5925.669932875,unknown,2,2025-05-09T09:33:51.244-03:00,2025-05-09T08:28:17.986-03:00,979,1.064393,0,0,663.67,0,0,2025-05-09T09:33:54.139-03:00,5924.87826,0,-6.114319,91.34312,1746793985.60726,10.149.169.142,0.0.0.0,my_iOS_device,0,1,1746793985.586095,1,0.35,2
2025-05-09T09:33:54.237-03:00,2979,0,0,0,0,0,-1,0,-1,-1,-1,0,1746794034.232635,13.93656349182129,11.40816497802734,15.13158416748047,261.8351440429688,282.2787475585938,11.66284084320068,5928.662849750001,0.0381927490234375,-0.55145263671875,-0.7736663818359375,5928.65531275,0.3306421041488647,0.1227419003844261,0.01711666956543922,5928.64455875,10.10604858398438,60.99578857421875,-75.43428039550781,5928.64526075,0.09451998611414626,0.1210298996113026,0.4699190231069891,0.4850549101829529,0.1298743635416031,0.1505978107452393,-0.0261198878288269,-0.1075344383716583,0.06300020217895508,XArbitraryCorrectedZVertical,0.2293393703141793,0.06972870611651313,0.05992403476371481,0.9689946301780427,0.107647605240345,-0.4528141021728516,-0.8850827217102051,14.22452545166016,11.15835189819336,14.95672607421875,-1,2,5925.669932875,unknown,2,2025-05-09T09:33:51.244-03:00,2025-05-09T08:28:17.986-03:00,979,1.064393,0,0,663.67,0,0,2025-05-09T09:33:54.139-03:00,5924.87826,0,-6.114319,91.34312,1746793985.60726,10.149.169.142,0.0.0.0,my_iOS_device,0,1,1746793985.586095,1,0.35,2
2025-05-09T09:33:54.253-03:00,2980,0,0,0,0,0,-1,0,-1,-1,-1,0,1746794034.232635,13.93656349182129,11.40816497802734,15.13158416748047,261.8351440429688,282.2787475585938,11.66284084320068,5928.67918375,0.097900390625,-0.5428619384765625,-0.7657928466796875,5928.671645750001,-0.1047698184847832,0.08198940753936768,-0.02146188169717789,5928.664679750001,10.00982666015625,60.86517333984375,-75.51919555664062,5928.660337750001,0.09451111811602479,0.1227944301883281,0.4755284443324971,0.2119353711605072,0.1223336011171341,-0.02313010580837727,-0.08043870329856873,-0.09648245573043823,0.08253663778305054,XArbitraryCorrectedZVertical,0.2320071943947115,0.07067088669983153,0.06025821405250488,0.9682702369105073,0.1088963523507118,-0.4578083157539368,-0.882356584072113,13.93656349182129,11.40816497802734,15.13158416748047,-1,2,5925.669932875,unknown,2,2025-05-09T09:33:51.244-03:00,2025-05-09T08:28:17.986-03:00,979,1.064393,0,0,663.67,0,0,2025-05-09T09:33:54.139-03:00,5924.87826,0,-6.114319,91.34312,1746793985.60726,10.149.169.142,0.0.0.0,my_iOS_device,0,1,1746793985.586095,1,0.35,2
2025-05-09T09:33:54.273-03:00,2981,0,0,0,0,0,-1,0,-1,-1,-1,0,1746794034.252803,13.94978523254395,11.28261184692383,15.07782745361328,261.8372802734375,282.2808837890625,11.66285800933838,5928.69551975,0.106109619140625,-0.5047607421875,-0.8150634765625,5928.687979750001,-0.5091481804847717,-0.02067651599645615,0.009610815905034542,5928.68480275,9.975692749023438,60.86268615722656,-75.40455627441406,5928.69049375,0.09490131199392392,0.1239203107174301,0.4696271923586712,-0.5480958819389343,-0.02395627461373806,0.008764146827161312,-0.005134448409080505,-0.08779039978981018,0.09576016664505005,XArbitraryCorrectedZVertical,0.2290973969816947,0.07116812456593655,0.06043298039579854,0.9689155628553805,0.110221728682518,-0.4525538682937622,-0.8848989605903625,14.0401439666748,11.12952041625977,14.97708129882812,-1,2,5925.669932875,unknown,2,2025-05-09T09:33:51.244-03:00,2025-05-09T08:28:17.986-03:00,979,1.064393,0,0,663.67,0,0,2025-05-09T09:33:54.139-03:00,5924.87826,0,-6.114319,91.34312,1746793985.60726,10.149.169.142,0.0.0.0,my_iOS_device,0,1,1746793985.586095,1,0.35,2
2025-05-09T09:33:54.290-03:00,2982,0,0,0,0,0,-1,0,-1,-1,-1,0,1746794034.272937,14.13956451416016,11.154052734375,15.07644653320312,261.804931640625,282.24853515625,11.66289520263672,5928.711852750001,0.1538848876953125,-0.401947021484375,-0.7982177734375,5928.70431375,-0.6223708987236023,0.04506201669573784,0.06361066550016403,5928.70492575,10.10421752929688,60.56988525390625,-75.19892883300781,5928.70557075,0.09680357686082953,0.1230690967216058,0.4606298330720684,-0.6186038851737976,0.05673675239086151,0.07028187066316605,0.02391675859689713,-0.01335808634757996,0.06528234481811523,XArbitraryCorrectedZVertical,0.2246884505308274,0.07082592386159613,0.06103822244801647,0.969934601332209,0.1099638640880585,-0.4445123970508575,-0.8889975547790527,14.18610191345215,10.88346481323242,15.12379455566406,-1,2,5925.669932875,unknown,2,2025-05-09T09:33:51.244-03:00,2025-05-09T08:28:17.986-03:00,979,1.064393,0,0,663.67,0,0,2025-05-09T09:33:54.139-03:00,5924.87826,0,-6.114319,91.34312,1746793985.60726,10.149.169.142,0.0.0.0,my_iOS_device,0,1,1746793985.586095,1,0.35,2
2025-05-09T09:33:54.303-03:00,2983,0,0,0,0,0,-1,0,-1,-1,-1,0,1746794034.292937,14.08821105957031,10.7576789855957,15.17036437988281,261.6390686035156,282.0826721191406,11.66294384002686,5928.728186750001,0.236114501953125,-0.41571044921875,-0.787841796875,5928.720648750001,-0.5455288290977478,0.2122563272714615,0.2641980946063995,5928.72504775,9.954421997070312,60.62319946289062,-74.87493896484375,5928.720648750001,0.100681214219665,0.1238827945550843,0.4522276802965072,-0.5448118448257446,0.2066651284694672,0.262208104133606,0.0609438419342041,0.06052076816558838,0.1116988658905029,XArbitraryCorrectedZVertical,0.2204430039105499,0.0715092219376311,0.0628047294219394,0.9707455423559811,0.1111447885632515,-0.4369703531265259,-0.8925826549530029,14.08821105957031,10.7576789855957,15.17036437988281,-1,2,5925.669932875,unknown,2,2025-05-09T09:33:51.244-03:00,2025-05-09T08:28:17.986-03:00,979,1.064393,0,0,663.67,0,0,2025-05-09T09:33:54.139-03:00,5925.954366,0,-6.114319,91.34312,1746793985.60726,10.149.169.142,0.0.0.0,my_iOS_device,0,1,1746793985.586095,1,0.35,2
2025-05-09T09:33:54.318-03:00,2984,0,0,0,0,0,-1,0,-1,-1,-1,0,1746794034.313035,14.26181793212891,10.7424430847168,15.30214691162109,261.1918334960938,281.6354370117188,11.66300773620605,5928.74452075,0.116424560546875,-0.505279541015625,-0.9579620361328125,5928.736982750001,-0.5370621085166931,0.1644294261932373,0.4127276539802551,5928.72504775,9.954421997070312,60.62319946289062,-74.87493896484375,5928.73572675,0.1076218672154244,0.123052291344933,0.4448893956502898,-0.537605881690979,0.1411937177181244,0.411003440618515,0.101104736328125,-0.02168357372283936,0.04408735036849976,XArbitraryCorrectedZVertical,0.2166529705353551,0.07172884774056422,0.06590587788319953,0.9713768027334504,0.1107940673828125,-0.4303580522537231,-0.895832896232605,14.26181793212891,10.7424430847168,15.30214691162109,-1,2,5925.669932875,unknown,2,2025-05-09T09:33:51.244-03:00,2025-05-09T08:28:17.986-03:00,979,1.064393,0,0,663.67,0,0,2025-05-09T09:33:54.139-03:00,5925.954366,0,-6.114319,91.34312,1746793985.60726,10.149.169.142,0.0.0.0,my_iOS_device,0,1,1746793985.586095,1,0.35,2
2025-05-09T09:33:54.338-03:00,2985,0,0,0,0,0,-1,0,-1,-1,-1,0,1746794034.333116,14.26238250732422,10.43646240234375,15.67041015625,260.6583251953125,281.1019287109375,11.6630744934082,5928.760855750001,-0.074951171875,-0.47564697265625,-1.041717529296875,5928.753316750001,-0.4455252885818481,0.6032861471176147,0.2899197041988373,5928.745171750001,10.02285766601562,60.30911254882812,-75.29759216308594,5928.75080475,0.1147475270372519,0.124619306266538,0.4377506044257451,-0.4778673052787781,0.5195023417472839,0.3090988993644714,-0.01545452326536179,-0.08770871162414551,-0.07423186302185059,XArbitraryCorrectedZVertical,0.2128684692324512,0.07311040137371873,0.06936402511629106,0.9718695842394266,0.1125767230987549,-0.4239032566547394,-0.8986837863922119,14.16269302368164,10.57976150512695,15.11744689941406,-1,2,5925.669932875,unknown,2,2025-05-09T09:33:51.244-03:00,2025-05-09T08:28:17.986-03:00,979,1.064393,0,0,663.67,0,0,2025-05-09T09:33:54.139-03:00,5925.954366,0,-6.114319,91.34312,1746793985.60726,10.149.169.142,0.0.0.0,my_iOS_device,0,1,1746793985.586095,1,0.35,2
