config_id,phase,model_type,window_seconds,stride_seconds,learning_rate,dropout,loss,batch_size,seed,n_folds,mae_mean_cm,mae_std_cm,rmse_mean_cm,rmse_std_cm,rms_mean_cm,bias_cm,proportional_bias_slope,composite_score,status,stop_reason,seed_mae_mean,seed_mae_std
stab_tcn_003ef9d5,stability,tcn,2.5,0.25,0.001,0.1,mse,16,123,19,1.2049284271539014,0.2117492376577098,1.5225231210692867,0.25492486437655765,1.5225231210692867,0.01569916230302137,-0.22204130649564885,1.436183422694521,completed,,1.2081676859132344,0.03012738048490644
stab_tcn_1c7564be,stability,tcn,2.5,0.25,0.001,0.1,huber,64,2026,19,1.2047974184741201,0.22234501199057863,1.5302007502323975,0.2743553729913204,1.5302007502323975,-0.03097746022210573,-0.21108313682948823,1.4406650482355148,completed,,1.2081676859132344,0.03012738048490644
stab_tcn_fc947168,stability,tcn,2.5,0.25,0.001,0.1,huber,64,7,19,1.2109861472348624,0.19489545907831501,1.5343212800459913,0.24362117081233103,1.5343212800459913,-0.045337339016307765,-0.20848222266128832,1.4422973321518606,completed,,1.2081676859132344,0.03012738048490644
stab_tcn_a425fcea,stability,tcn,2.5,0.25,0.001,0.1,mse,64,7,19,1.2247833352188082,0.2020998535240426,1.5420615235469657,0.2466398202357978,1.5420615235469657,0.000582649981035145,-0.2222431452590064,1.453332532001817,completed,,1.2081676859132344,0.03012738048490644
stab_tcn_2e1e1355,stability,tcn,2.5,0.25,0.001,0.1,mse,16,42,19,1.2197524942493607,0.22469650919749418,1.5324863246504565,0.2578730630813787,1.5324863246504565,0.025019444574031595,-0.21260086482908286,1.4556946262070385,completed,,1.2081676859132344,0.03012738048490644
stab_tcn_709c0124,stability,tcn,2.5,0.25,0.001,0.1,mse,64,3407,19,1.226122506200932,0.20882180260976888,1.547351333703926,0.2533789752702802,1.547351333703926,0.0026257297005238844,-0.23791619641344708,1.4587549383444356,completed,,1.2081676859132344,0.03012738048490644
stab_tcn_fe75ee1d,stability,tcn,2.5,0.25,0.001,0.1,huber,64,42,19,1.230631598720576,0.22121985258515842,1.5555441993954364,0.2722802837765214,1.5555441993954364,-0.022885015862190803,-0.1880839750168689,1.4652385007116702,completed,,1.2081676859132344,0.03012738048490644
stab_tcn_e3a182eb,stability,tcn,2.5,0.25,0.001,0.1,huber,32,42,19,1.2326831135107836,0.22546612810939448,1.5702638002580185,0.27097354873108453,1.5702638002580185,-0.015030929102617175,-0.20266623613469373,1.4701036575670414,completed,,1.2081676859132344,0.03012738048490644
stab_tcn_67b29062,stability,tcn,2.5,0.25,0.001,0.1,mse,64,123,19,1.2443347118700074,0.20572993531549338,1.5641972849914487,0.2533328028389046,1.5641972849914487,0.0028134630992970476,-0.24678688573406674,1.4787940012605723,completed,,1.2081676859132344,0.03012738048490644
stab_tcn_3a58588a,stability,tcn,2.5,0.25,0.001,0.1,huber,64,3407,19,1.2499084981515571,0.2117483632384673,1.5659233299268478,0.25920073578837394,1.5659233299268478,-0.000822351468497116,-0.22675524693039265,1.483743168391418,completed,,1.2081676859132344,0.03012738048490644
stab_tcn_40e73ecf,stability,tcn,2.5,0.25,0.001,0.1,huber,64,123,19,1.242835369424545,0.21151667551118417,1.567078713684161,0.25971145806876067,1.567078713684161,0.05199516029159439,-0.22608513026096785,1.4843365657648384,completed,,1.2081676859132344,0.03012738048490644
stab_tcn_f65fd2f8,stability,tcn,2.5,0.25,0.001,0.1,mse,64,2026,19,1.2505161054853353,0.21633636846838653,1.5711449784041007,0.2638255106327335,1.5711449784041007,-0.021276768998196846,-0.22439167792683798,1.488851747609501,completed,,1.2081676859132344,0.03012738048490644
stab_tcn_08f39134,stability,tcn,2.5,0.25,0.001,0.1,mse,64,42,19,1.2656337033135128,0.22881898746580628,1.5955161873645354,0.27359488714355257,1.5955161873645354,0.005015232320614999,-0.19227404294871084,1.5038761270836267,completed,,1.2081676859132344,0.03012738048490644
